"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GNI","TOT","USD_CAP","A","2013",46511.408561,
"AUS","GNI","TOT","USD_CAP","A","2014",46670.840624,
"AUS","GNI","TOT","USD_CAP","A","2015",46185.513376,
"AUS","GNI","TOT","USD_CAP","A","2016",48917.08921,
"CAN","GNI","TOT","USD_CAP","A","2013",43623.829964,
"CAN","GNI","TOT","USD_CAP","A","2014",45014.460327,
"CAN","GNI","TOT","USD_CAP","A","2015",43987.078434,
"CAN","GNI","TOT","USD_CAP","A","2016",45912.625196,
"FRA","GNI","TOT","USD_CAP","A","2013",40413.873486,
"FRA","GNI","TOT","USD_CAP","A","2014",41014.141707,
"FRA","GNI","TOT","USD_CAP","A","2015",41722.840988,
"FRA","GNI","TOT","USD_CAP","A","2016",43760.048464,
"DEU","GNI","TOT","USD_CAP","A","2013",46035.531279,
"DEU","GNI","TOT","USD_CAP","A","2014",47953.166499,
"DEU","GNI","TOT","USD_CAP","A","2015",48768.645545,
"DEU","GNI","TOT","USD_CAP","A","2016",51808.959691,
"ITA","GNI","TOT","USD_CAP","A","2013",36005.199726,
"ITA","GNI","TOT","USD_CAP","A","2014",36198.077101,
"ITA","GNI","TOT","USD_CAP","A","2015",36654.133267,
"ITA","GNI","TOT","USD_CAP","A","2016",40032.930479,
"JPN","GNI","TOT","USD_CAP","A","2013",40317.886349,
"JPN","GNI","TOT","USD_CAP","A","2014",40593.625446,
"JPN","GNI","TOT","USD_CAP","A","2015",41958.238439,
"JPN","GNI","TOT","USD_CAP","A","2016",41335.757414,
"KOR","GNI","TOT","USD_CAP","A","2013",34462.50267,
"KOR","GNI","TOT","USD_CAP","A","2014",35495.22574,
"KOR","GNI","TOT","USD_CAP","A","2015",38026.033467,
"KOR","GNI","TOT","USD_CAP","A","2016",39711.512015,
"MEX","GNI","TOT","USD_CAP","A","2013",16953.790585,
"MEX","GNI","TOT","USD_CAP","A","2014",17746.168637,
"MEX","GNI","TOT","USD_CAP","A","2015",17982.685762,
"MEX","GNI","TOT","USD_CAP","A","2016",19002.299972,
"GBR","GNI","TOT","USD_CAP","A","2013",39169.440716,
"GBR","GNI","TOT","USD_CAP","A","2014",40426.660393,
"GBR","GNI","TOT","USD_CAP","A","2015",41549.400066,
"GBR","GNI","TOT","USD_CAP","A","2016",43077.856381,
"USA","GNI","TOT","USD_CAP","A","2013",54281.789135,
"USA","GNI","TOT","USD_CAP","A","2014",56656.811529,
"USA","GNI","TOT","USD_CAP","A","2015",58264.181094,
"USA","GNI","TOT","USD_CAP","A","2016",58905.544713,
"CHN","GNI","TOT","USD_CAP","A","2013",12230.778882,
"CHN","GNI","TOT","USD_CAP","A","2014",13428.59142,
"CHN","GNI","TOT","USD_CAP","A","2015",14364.542014,
"CHN","GNI","TOT","USD_CAP","A","2016",15405.463548,
"RUS","GNI","TOT","USD_CAP","A","2013",25279.909189,"E"
"RUS","GNI","TOT","USD_CAP","A","2014",24913.252158,
"RUS","GNI","TOT","USD_CAP","A","2015",23432.866985,
"RUS","GNI","TOT","USD_CAP","A","2016",23579.415948,
"ZAF","GNI","TOT","USD_CAP","A","2013",12617.250683,
"ZAF","GNI","TOT","USD_CAP","A","2014",12890.909495,
"ZAF","GNI","TOT","USD_CAP","A","2015",13013.92373,
"ZAF","GNI","TOT","USD_CAP","A","2016",13016.717914,
"OECD","GNI","TOT","USD_CAP","A","2013",39432.338491,"E"
"OECD","GNI","TOT","USD_CAP","A","2014",40703.991967,"E"
"OECD","GNI","TOT","USD_CAP","A","2015",41810.977738,"E"
"OECD","GNI","TOT","USD_CAP","A","2016",43089.733176,"E"
"SAU","GNI","TOT","USD_CAP","A","2013",52114.452364,
"SAU","GNI","TOT","USD_CAP","A","2014",53941.36156,
"SAU","GNI","TOT","USD_CAP","A","2015",55382.61494,
"SAU","GNI","TOT","USD_CAP","A","2016",55767.358521,
"TUR","GNI","TOT","USD_CAP","A","2013",21997.102868,"E"
"TUR","GNI","TOT","USD_CAP","A","2014",23764.848474,"E"
"TUR","GNI","TOT","USD_CAP","A","2015",25423.711176,"E"
"TUR","GNI","TOT","USD_CAP","A","2016",26196.833912,"E"
"BRA","GNI","TOT","USD_CAP","A","2013",15999.479566,
"BRA","GNI","TOT","USD_CAP","A","2014",16117.745538,
"BRA","GNI","TOT","USD_CAP","A","2015",15548.218873,
"BRA","GNI","TOT","USD_CAP","A","2016",15085.013461,
