"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","STUDPERTEACHER","PRY","RT","A","2014",18.677,
"CZE","STUDPERTEACHER","PRY","RT","A","2015",18.974,
"CZE","STUDPERTEACHER","PRY","RT","A","2016",19.149,
"CZE","STUDPERTEACHER","PRY","RT","A","2017",19.138,
"CZE","STUDPERTEACHER","TRY","RT","A","2013",21.883,
"CZE","STUDPERTEACHER","TRY","RT","A","2014",22.25,
"CZE","STUDPERTEACHER","TRY","RT","A","2015",23.342,
"CZE","STUDPERTEACHER","TRY","RT","A","2016",18.864,
"CZE","STUDPERTEACHER","TRY","RT","A","2017",18.362,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",13.891,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",13.666,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",13.455,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",13.403,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",13.168,
"CZE","STUDPERTEACHER","SRY","RT","A","2013",11.136,
"CZE","STUDPERTEACHER","SRY","RT","A","2014",11.756,
"CZE","STUDPERTEACHER","SRY","RT","A","2015",11.465,
"CZE","STUDPERTEACHER","SRY","RT","A","2016",11.484,
"CZE","STUDPERTEACHER","SRY","RT","A","2017",11.594,
"DNK","STUDPERTEACHER","PRY","RT","A","2014",11.859,
"DNK","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"DNK","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"DNK","STUDPERTEACHER","PRY","RT","A","2017",,"M"
"DNK","STUDPERTEACHER","TRY","RT","A","2013",,"M"
"DNK","STUDPERTEACHER","TRY","RT","A","2014",14.285,
"DNK","STUDPERTEACHER","TRY","RT","A","2015",,"M"
"DNK","STUDPERTEACHER","TRY","RT","A","2016",,"M"
"DNK","STUDPERTEACHER","TRY","RT","A","2017",,"M"
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",,"M"
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",10.384,
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",,"M"
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",,"M"
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",,"M"
"DNK","STUDPERTEACHER","SRY","RT","A","2013",,"M"
"DNK","STUDPERTEACHER","SRY","RT","A","2014",12.103,
"DNK","STUDPERTEACHER","SRY","RT","A","2015",,"M"
"DNK","STUDPERTEACHER","SRY","RT","A","2016",,"M"
"DNK","STUDPERTEACHER","SRY","RT","A","2017",,"M"
"FIN","STUDPERTEACHER","PRY","RT","A","2013",13.197,
"FIN","STUDPERTEACHER","PRY","RT","A","2014",13.332,
"FIN","STUDPERTEACHER","PRY","RT","A","2015",13.584,
"FIN","STUDPERTEACHER","PRY","RT","A","2016",13.322,
"FIN","STUDPERTEACHER","PRY","RT","A","2017",13.667,
"FIN","STUDPERTEACHER","TRY","RT","A","2013",13.826,
"FIN","STUDPERTEACHER","TRY","RT","A","2014",14.213,
"FIN","STUDPERTEACHER","TRY","RT","A","2015",15.118,
"FIN","STUDPERTEACHER","TRY","RT","A","2016",15.281,
"FIN","STUDPERTEACHER","TRY","RT","A","2017",15.506,
"FIN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",,"M"
"FIN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",,"M"
"FIN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",,"M"
"FIN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",,"M"
"FIN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",,"M"
"FIN","STUDPERTEACHER","SRY","RT","A","2013",12.707,
"FIN","STUDPERTEACHER","SRY","RT","A","2014",12.758,
"FIN","STUDPERTEACHER","SRY","RT","A","2015",12.907,
"FIN","STUDPERTEACHER","SRY","RT","A","2016",13.241,
"FIN","STUDPERTEACHER","SRY","RT","A","2017",13.58,
"FRA","STUDPERTEACHER","PRY","RT","A","2013",19.313,
"FRA","STUDPERTEACHER","PRY","RT","A","2014",19.424,
"FRA","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"FRA","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"FRA","STUDPERTEACHER","PRY","RT","A","2017",19.619,
"FRA","STUDPERTEACHER","TRY","RT","A","2013",17.298,
"FRA","STUDPERTEACHER","TRY","RT","A","2014",18.205,
"FRA","STUDPERTEACHER","TRY","RT","A","2015",,"M"
"FRA","STUDPERTEACHER","TRY","RT","A","2016",,"M"
"FRA","STUDPERTEACHER","TRY","RT","A","2017",,"M"
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",21.591,
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",21.759,
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",,"M"
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",,"M"
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",22.523,
"FRA","STUDPERTEACHER","SRY","RT","A","2013",12.734,
"FRA","STUDPERTEACHER","SRY","RT","A","2014",12.898,
"FRA","STUDPERTEACHER","SRY","RT","A","2015",,"M"
"FRA","STUDPERTEACHER","SRY","RT","A","2016",,"M"
"FRA","STUDPERTEACHER","SRY","RT","A","2017",12.604,
"DEU","STUDPERTEACHER","PRY","RT","A","2013",15.62,
"DEU","STUDPERTEACHER","PRY","RT","A","2014",15.44,
"DEU","STUDPERTEACHER","PRY","RT","A","2015",15.447,
"DEU","STUDPERTEACHER","PRY","RT","A","2016",15.322,
"DEU","STUDPERTEACHER","PRY","RT","A","2017",15.396,
"DEU","STUDPERTEACHER","TRY","RT","A","2013",11.693,
"DEU","STUDPERTEACHER","TRY","RT","A","2014",11.817,
"DEU","STUDPERTEACHER","TRY","RT","A","2015",11.965,
"DEU","STUDPERTEACHER","TRY","RT","A","2016",12.089,
"DEU","STUDPERTEACHER","TRY","RT","A","2017",12.092,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",8.335,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",8.054,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",7.83,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",7.761,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",7.617,
"DEU","STUDPERTEACHER","SRY","RT","A","2013",13.494,
"DEU","STUDPERTEACHER","SRY","RT","A","2014",13.289,
"DEU","STUDPERTEACHER","SRY","RT","A","2015",13.181,
"DEU","STUDPERTEACHER","SRY","RT","A","2016",13.103,
"DEU","STUDPERTEACHER","SRY","RT","A","2017",13.017,
"GRC","STUDPERTEACHER","PRY","RT","A","2013",9.493,
"GRC","STUDPERTEACHER","PRY","RT","A","2014",9.448,
"GRC","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"GRC","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"GRC","STUDPERTEACHER","PRY","RT","A","2017",,"M"
"GRC","STUDPERTEACHER","TRY","RT","A","2013",,"M"
"GRC","STUDPERTEACHER","TRY","RT","A","2014",44.517,
"GRC","STUDPERTEACHER","TRY","RT","A","2015",,"M"
"GRC","STUDPERTEACHER","TRY","RT","A","2016",,"M"
"GRC","STUDPERTEACHER","TRY","RT","A","2017",,"M"
"GRC","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",,"M"
"GRC","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",,"M"
"GRC","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",,"M"
"GRC","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",,"M"
"GRC","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",,"M"
"GRC","STUDPERTEACHER","SRY","RT","A","2013",7.715,
"GRC","STUDPERTEACHER","SRY","RT","A","2014",,"M"
"GRC","STUDPERTEACHER","SRY","RT","A","2015",,"M"
"GRC","STUDPERTEACHER","SRY","RT","A","2016",,"M"
"GRC","STUDPERTEACHER","SRY","RT","A","2017",,"M"
"HUN","STUDPERTEACHER","PRY","RT","A","2013",10.631,
"HUN","STUDPERTEACHER","PRY","RT","A","2014",11.46,
"HUN","STUDPERTEACHER","PRY","RT","A","2015",11.235,
"HUN","STUDPERTEACHER","PRY","RT","A","2016",11.015,
"HUN","STUDPERTEACHER","PRY","RT","A","2017",10.8,
"HUN","STUDPERTEACHER","TRY","RT","A","2013",14.842,
"HUN","STUDPERTEACHER","TRY","RT","A","2014",15.094,
"HUN","STUDPERTEACHER","TRY","RT","A","2015",14.589,
"HUN","STUDPERTEACHER","TRY","RT","A","2016",13.662,
"HUN","STUDPERTEACHER","TRY","RT","A","2017",12.083,
"HUN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",,"M"
"HUN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",,"M"
"HUN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",12.438,
"HUN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",12.328,
"HUN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",12.234,
"HUN","STUDPERTEACHER","SRY","RT","A","2013",11.256,
"HUN","STUDPERTEACHER","SRY","RT","A","2014",11.706,
"HUN","STUDPERTEACHER","SRY","RT","A","2015",11.034,
"HUN","STUDPERTEACHER","SRY","RT","A","2016",10.707,
"HUN","STUDPERTEACHER","SRY","RT","A","2017",10.937,
"ISL","STUDPERTEACHER","PRY","RT","A","2013",10.433,
"ISL","STUDPERTEACHER","PRY","RT","A","2014",,"M"
"ISL","STUDPERTEACHER","PRY","RT","A","2015",10.742,
"ISL","STUDPERTEACHER","PRY","RT","A","2016",10.845,
"ISL","STUDPERTEACHER","PRY","RT","A","2017",11.068,
"ISL","STUDPERTEACHER","TRY","RT","A","2013",,"M"
"ISL","STUDPERTEACHER","TRY","RT","A","2014",,"M"
"ISL","STUDPERTEACHER","TRY","RT","A","2015",,"M"
"ISL","STUDPERTEACHER","TRY","RT","A","2016",,"M"
"ISL","STUDPERTEACHER","TRY","RT","A","2017",,"M"
"ISL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",4.699,
"ISL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",,"M"
"ISL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",4.479,
"ISL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",4.347,
"ISL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",4.346,
"ISL","STUDPERTEACHER","SRY","RT","A","2013",,"M"
"ISL","STUDPERTEACHER","SRY","RT","A","2014",,"M"
"ISL","STUDPERTEACHER","SRY","RT","A","2015",,"M"
"ISL","STUDPERTEACHER","SRY","RT","A","2016",,"M"
"ISL","STUDPERTEACHER","SRY","RT","A","2017",,"M"
"IRL","STUDPERTEACHER","PRY","RT","A","2013",,"M"
"IRL","STUDPERTEACHER","PRY","RT","A","2014",,"M"
"IRL","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"IRL","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"IRL","STUDPERTEACHER","PRY","RT","A","2017",15.653,
"IRL","STUDPERTEACHER","TRY","RT","A","2013",,"M"
"IRL","STUDPERTEACHER","TRY","RT","A","2014",,"M"
"IRL","STUDPERTEACHER","TRY","RT","A","2015",,"M"
"IRL","STUDPERTEACHER","TRY","RT","A","2016",,"M"
"IRL","STUDPERTEACHER","TRY","RT","A","2017",20.635,
"IRL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",,"M"
"IRL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",,"M"
"IRL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",,"M"
"IRL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",,"M"
"IRL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",,"M"
"IRL","STUDPERTEACHER","SRY","RT","A","2013",,"M"
"IRL","STUDPERTEACHER","SRY","RT","A","2014",,"M"
"IRL","STUDPERTEACHER","SRY","RT","A","2015",,"M"
"IRL","STUDPERTEACHER","SRY","RT","A","2016",,"M"
"IRL","STUDPERTEACHER","SRY","RT","A","2017",13.408,
"ITA","STUDPERTEACHER","PRY","RT","A","2013",12.346,
"ITA","STUDPERTEACHER","PRY","RT","A","2014",12.382,
"ITA","STUDPERTEACHER","PRY","RT","A","2015",12.357,
"ITA","STUDPERTEACHER","PRY","RT","A","2016",11.56,
"ITA","STUDPERTEACHER","PRY","RT","A","2017",11.653,
"ITA","STUDPERTEACHER","TRY","RT","A","2013",19.017,
"ITA","STUDPERTEACHER","TRY","RT","A","2014",18.846,
"ITA","STUDPERTEACHER","TRY","RT","A","2015",20.2,
"ITA","STUDPERTEACHER","TRY","RT","A","2016",20.207,
"ITA","STUDPERTEACHER","TRY","RT","A","2017",20.014,
"ITA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",13.516,
"ITA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",,"M"
"ITA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",13.198,
"ITA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",12.856,
"ITA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",12.435,
"ITA","STUDPERTEACHER","SRY","RT","A","2013",,"M"
"ITA","STUDPERTEACHER","SRY","RT","A","2014",12.135,
"ITA","STUDPERTEACHER","SRY","RT","A","2015",12.083,
"ITA","STUDPERTEACHER","SRY","RT","A","2016",10.597,
"ITA","STUDPERTEACHER","SRY","RT","A","2017",10.58,
"JPN","STUDPERTEACHER","PRY","RT","A","2013",17.402,
"JPN","STUDPERTEACHER","PRY","RT","A","2014",17.143,
"JPN","STUDPERTEACHER","PRY","RT","A","2015",16.906,
"JPN","STUDPERTEACHER","PRY","RT","A","2016",16.635,
"JPN","STUDPERTEACHER","PRY","RT","A","2017",16.427,
"JPN","STUDPERTEACHER","TRY","RT","A","2013",,"M"
"JPN","STUDPERTEACHER","TRY","RT","A","2014",,"M"
"JPN","STUDPERTEACHER","TRY","RT","A","2015",,"M"
"JPN","STUDPERTEACHER","TRY","RT","A","2016",,"M"
"JPN","STUDPERTEACHER","TRY","RT","A","2017",,"M"
"JPN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",15.408,
"JPN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",15.111,
"JPN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",14.791,
"JPN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",14.556,
"JPN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",14.515,
"JPN","STUDPERTEACHER","SRY","RT","A","2013",12.72,
"JPN","STUDPERTEACHER","SRY","RT","A","2014",12.771,
"JPN","STUDPERTEACHER","SRY","RT","A","2015",12.715,
"JPN","STUDPERTEACHER","SRY","RT","A","2016",12.545,
"JPN","STUDPERTEACHER","SRY","RT","A","2017",12.447,
"KOR","STUDPERTEACHER","PRY","RT","A","2013",17.306,
"KOR","STUDPERTEACHER","PRY","RT","A","2014",16.862,
"KOR","STUDPERTEACHER","PRY","RT","A","2015",16.787,
"KOR","STUDPERTEACHER","PRY","RT","A","2016",16.466,
"KOR","STUDPERTEACHER","PRY","RT","A","2017",16.421,
"KOR","STUDPERTEACHER","TRY","RT","A","2013",,"M"
"KOR","STUDPERTEACHER","TRY","RT","A","2014",,"M"
"KOR","STUDPERTEACHER","TRY","RT","A","2015",,"M"
"KOR","STUDPERTEACHER","TRY","RT","A","2016",,"M"
"KOR","STUDPERTEACHER","TRY","RT","A","2017",,"M"
"KOR","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",8.92,
"KOR","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",8.752,
"KOR","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",8.679,
"KOR","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",8.633,
"KOR","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",8.597,
"KOR","STUDPERTEACHER","SRY","RT","A","2013",16.177,
"KOR","STUDPERTEACHER","SRY","RT","A","2014",15.458,
"KOR","STUDPERTEACHER","SRY","RT","A","2015",14.791,
"KOR","STUDPERTEACHER","SRY","RT","A","2016",14.157,
"KOR","STUDPERTEACHER","SRY","RT","A","2017",13.544,
"LUX","STUDPERTEACHER","PRY","RT","A","2013",8.819,
"LUX","STUDPERTEACHER","PRY","RT","A","2014",8.944,
"LUX","STUDPERTEACHER","PRY","RT","A","2015",10.74,
"LUX","STUDPERTEACHER","PRY","RT","A","2016",10.52,
"LUX","STUDPERTEACHER","PRY","RT","A","2017",9.01,
"LUX","STUDPERTEACHER","TRY","RT","A","2013",,"M"
"LUX","STUDPERTEACHER","TRY","RT","A","2014",,"M"
"LUX","STUDPERTEACHER","TRY","RT","A","2015",8.233,
"LUX","STUDPERTEACHER","TRY","RT","A","2016",7.557,
"LUX","STUDPERTEACHER","TRY","RT","A","2017",7.246,
"LUX","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",10.855,
"LUX","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",11.112,
"LUX","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",10.797,
"LUX","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",11.464,
"LUX","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",14.47,
"LUX","STUDPERTEACHER","SRY","RT","A","2013",8.599,
"LUX","STUDPERTEACHER","SRY","RT","A","2014",9.763,
"LUX","STUDPERTEACHER","SRY","RT","A","2015",10.855,
"LUX","STUDPERTEACHER","SRY","RT","A","2016",9.693,
"LUX","STUDPERTEACHER","SRY","RT","A","2017",9.871,
"MEX","STUDPERTEACHER","PRY","RT","A","2013",27.691,
"MEX","STUDPERTEACHER","PRY","RT","A","2014",27.409,
"MEX","STUDPERTEACHER","PRY","RT","A","2015",26.927,
"MEX","STUDPERTEACHER","PRY","RT","A","2016",26.742,
"MEX","STUDPERTEACHER","PRY","RT","A","2017",26.552,
"MEX","STUDPERTEACHER","TRY","RT","A","2013",14.281,
"MEX","STUDPERTEACHER","TRY","RT","A","2014",15.527,
"MEX","STUDPERTEACHER","TRY","RT","A","2015",15.26,
"MEX","STUDPERTEACHER","TRY","RT","A","2016",17.476,
"MEX","STUDPERTEACHER","TRY","RT","A","2017",16.729,
"MEX","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",26.165,
"MEX","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",26.074,
"MEX","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",24.213,
"MEX","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",24.083,
"MEX","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",24.132,
"MEX","STUDPERTEACHER","SRY","RT","A","2013",30.302,
"MEX","STUDPERTEACHER","SRY","RT","A","2014",27.11,
"MEX","STUDPERTEACHER","SRY","RT","A","2015",27,
"MEX","STUDPERTEACHER","SRY","RT","A","2016",27.038,
"MEX","STUDPERTEACHER","SRY","RT","A","2017",28.645,
"NLD","STUDPERTEACHER","PRY","RT","A","2013",,"M"
"NLD","STUDPERTEACHER","PRY","RT","A","2014",16.552,
"NLD","STUDPERTEACHER","PRY","RT","A","2015",16.554,
"NLD","STUDPERTEACHER","PRY","RT","A","2016",16.774,
"NLD","STUDPERTEACHER","PRY","RT","A","2017",16.65,
"NLD","STUDPERTEACHER","TRY","RT","A","2013",,"M"
"NLD","STUDPERTEACHER","TRY","RT","A","2014",,"M"
"NLD","STUDPERTEACHER","TRY","RT","A","2015",15.394,
"NLD","STUDPERTEACHER","TRY","RT","A","2016",14.762,
"NLD","STUDPERTEACHER","TRY","RT","A","2017",14.591,
"NLD","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",16.275,
"NLD","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",16.274,
"NLD","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",16.282,
"NLD","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",16.774,
"NLD","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",16.225,
"NLD","STUDPERTEACHER","SRY","RT","A","2013",,"M"
"NLD","STUDPERTEACHER","SRY","RT","A","2014",,"M"
"NLD","STUDPERTEACHER","SRY","RT","A","2015",16.974,
"NLD","STUDPERTEACHER","SRY","RT","A","2016",16.916,
"NLD","STUDPERTEACHER","SRY","RT","A","2017",17.037,
"NZL","STUDPERTEACHER","PRY","RT","A","2013",16.388,
"NZL","STUDPERTEACHER","PRY","RT","A","2014",16.36,
"NZL","STUDPERTEACHER","PRY","RT","A","2015",16.451,
"NZL","STUDPERTEACHER","PRY","RT","A","2016",16.571,
"NZL","STUDPERTEACHER","PRY","RT","A","2017",16.903,
"NZL","STUDPERTEACHER","TRY","RT","A","2013",17.098,
"NZL","STUDPERTEACHER","TRY","RT","A","2014",17.304,
"NZL","STUDPERTEACHER","TRY","RT","A","2015",17.387,
"NZL","STUDPERTEACHER","TRY","RT","A","2016",17.736,
"NZL","STUDPERTEACHER","TRY","RT","A","2017",18.07,
"NZL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",6.013,
"NZL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",5.228,
"NZL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",4.913,
"NZL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",,"M"
"NZL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",4.903,
"NZL","STUDPERTEACHER","SRY","RT","A","2013",14.782,
"NZL","STUDPERTEACHER","SRY","RT","A","2014",14.607,
"NZL","STUDPERTEACHER","SRY","RT","A","2015",14.421,
"NZL","STUDPERTEACHER","SRY","RT","A","2016",14.394,
"NZL","STUDPERTEACHER","SRY","RT","A","2017",14.704,
