"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GNI","TOT","USD_CAP","A","2013",46511.408561,
"AUS","GNI","TOT","USD_CAP","A","2014",46670.840624,
"AUS","GNI","TOT","USD_CAP","A","2015",46185.513376,
"AUS","GNI","TOT","USD_CAP","A","2016",48917.08921,
"AUS","GNI","TOT","USD_CAP","A","2017",49695.261323,
"AUT","GNI","TOT","USD_CAP","A","2013",48065.980083,
"AUT","GNI","TOT","USD_CAP","A","2014",48877.877018,
"AUT","GNI","TOT","USD_CAP","A","2015",49463.586692,
"AUT","GNI","TOT","USD_CAP","A","2016",52610.415098,
"AUT","GNI","TOT","USD_CAP","A","2017",54166.88228,
"BEL","GNI","TOT","USD_CAP","A","2013",44748.589693,
"BEL","GNI","TOT","USD_CAP","A","2014",45872.684937,
"BEL","GNI","TOT","USD_CAP","A","2015",46868.130715,
"BEL","GNI","TOT","USD_CAP","A","2016",49087.868572,
"BEL","GNI","TOT","USD_CAP","A","2017",51320.076092,
"CAN","GNI","TOT","USD_CAP","A","2013",43623.829964,
"CAN","GNI","TOT","USD_CAP","A","2014",45014.460327,
"CAN","GNI","TOT","USD_CAP","A","2015",43987.078434,
"CAN","GNI","TOT","USD_CAP","A","2016",45912.625196,
"CAN","GNI","TOT","USD_CAP","A","2017",48068.862331,
"CZE","GNI","TOT","USD_CAP","A","2013",28675.788955,
"CZE","GNI","TOT","USD_CAP","A","2014",30091.894808,
"CZE","GNI","TOT","USD_CAP","A","2015",31430.796369,
"CZE","GNI","TOT","USD_CAP","A","2016",33554.354963,
"CZE","GNI","TOT","USD_CAP","A","2017",36140.38285,
"DNK","GNI","TOT","USD_CAP","A","2013",48222.975946,
"DNK","GNI","TOT","USD_CAP","A","2014",49648.01783,
"DNK","GNI","TOT","USD_CAP","A","2015",50577.64092,
"DNK","GNI","TOT","USD_CAP","A","2016",53096.893724,
"DNK","GNI","TOT","USD_CAP","A","2017",56342.691367,
"FIN","GNI","TOT","USD_CAP","A","2013",41663.300112,
"FIN","GNI","TOT","USD_CAP","A","2014",42167.773015,
"FIN","GNI","TOT","USD_CAP","A","2015",42945.959813,
"FIN","GNI","TOT","USD_CAP","A","2016",45150.759266,
"FIN","GNI","TOT","USD_CAP","A","2017",47477.994635,
"FRA","GNI","TOT","USD_CAP","A","2013",40413.873486,
"FRA","GNI","TOT","USD_CAP","A","2014",41014.141707,
"FRA","GNI","TOT","USD_CAP","A","2015",41722.840988,
"FRA","GNI","TOT","USD_CAP","A","2016",43760.048464,
"FRA","GNI","TOT","USD_CAP","A","2017",45715.146707,"P"
"DEU","GNI","TOT","USD_CAP","A","2013",46035.531279,
"DEU","GNI","TOT","USD_CAP","A","2014",47953.166499,
"DEU","GNI","TOT","USD_CAP","A","2015",48768.645545,
"DEU","GNI","TOT","USD_CAP","A","2016",51808.959691,
"DEU","GNI","TOT","USD_CAP","A","2017",54368.259132,
"GRC","GNI","TOT","USD_CAP","A","2013",26066.371639,"P"
"GRC","GNI","TOT","USD_CAP","A","2014",27020.358588,"P"
"GRC","GNI","TOT","USD_CAP","A","2015",26939.417633,"P"
"GRC","GNI","TOT","USD_CAP","A","2016",27824.34861,"P"
"GRC","GNI","TOT","USD_CAP","A","2017",29145.491746,"P"
"HUN","GNI","TOT","USD_CAP","A","2013",23804.714212,
"HUN","GNI","TOT","USD_CAP","A","2014",24497.602693,
"HUN","GNI","TOT","USD_CAP","A","2015",25458.602271,
"HUN","GNI","TOT","USD_CAP","A","2016",26992.35069,
"HUN","GNI","TOT","USD_CAP","A","2017",28344.307597,
"IRL","GNI","TOT","USD_CAP","A","2013",40443.540114,
"IRL","GNI","TOT","USD_CAP","A","2014",43157.611502,
"IRL","GNI","TOT","USD_CAP","A","2015",53151.821566,
"IRL","GNI","TOT","USD_CAP","A","2016",58740.425066,
"IRL","GNI","TOT","USD_CAP","A","2017",62108.787716,
"ITA","GNI","TOT","USD_CAP","A","2013",36005.199726,
"ITA","GNI","TOT","USD_CAP","A","2014",36198.077101,
"ITA","GNI","TOT","USD_CAP","A","2015",36654.133267,
"ITA","GNI","TOT","USD_CAP","A","2016",40032.930479,
"ITA","GNI","TOT","USD_CAP","A","2017",42013.402263,
"JPN","GNI","TOT","USD_CAP","A","2013",40317.886349,
"JPN","GNI","TOT","USD_CAP","A","2014",40593.625446,
"JPN","GNI","TOT","USD_CAP","A","2015",41958.238439,
"JPN","GNI","TOT","USD_CAP","A","2016",41335.757414,
"JPN","GNI","TOT","USD_CAP","A","2017",42341.985004,
"KOR","GNI","TOT","USD_CAP","A","2013",34462.50267,
"KOR","GNI","TOT","USD_CAP","A","2014",35495.22574,
"KOR","GNI","TOT","USD_CAP","A","2015",38026.033467,
"KOR","GNI","TOT","USD_CAP","A","2016",39711.512015,
"KOR","GNI","TOT","USD_CAP","A","2017",41168.124707,
"LUX","GNI","TOT","USD_CAP","A","2013",63613.535515,
"LUX","GNI","TOT","USD_CAP","A","2014",67047.520814,
"LUX","GNI","TOT","USD_CAP","A","2015",67615.720185,
"LUX","GNI","TOT","USD_CAP","A","2016",70192.293741,
"LUX","GNI","TOT","USD_CAP","A","2017",72668.040044,
"MEX","GNI","TOT","USD_CAP","A","2013",16953.790585,
"MEX","GNI","TOT","USD_CAP","A","2014",17746.168637,
"MEX","GNI","TOT","USD_CAP","A","2015",17982.685762,
"MEX","GNI","TOT","USD_CAP","A","2016",19002.299972,
"MEX","GNI","TOT","USD_CAP","A","2017",19559.18188,
"NLD","GNI","TOT","USD_CAP","A","2013",49909.707836,
"NLD","GNI","TOT","USD_CAP","A","2014",49111.386242,
"NLD","GNI","TOT","USD_CAP","A","2015",50340.409925,
"NLD","GNI","TOT","USD_CAP","A","2016",51510.936718,
"NLD","GNI","TOT","USD_CAP","A","2017",55766.175927,"P"
"NZL","GNI","TOT","USD_CAP","A","2013",34662.938188,
"NZL","GNI","TOT","USD_CAP","A","2014",35580.835433,
"NZL","GNI","TOT","USD_CAP","A","2015",35973.941776,
"NZL","GNI","TOT","USD_CAP","A","2016",38363.07351,
"NZL","GNI","TOT","USD_CAP","A","2017",39607.642557,
"NOR","GNI","TOT","USD_CAP","A","2013",67764.629857,
"NOR","GNI","TOT","USD_CAP","A","2014",68102.516438,
"NOR","GNI","TOT","USD_CAP","A","2015",63000.344312,
"NOR","GNI","TOT","USD_CAP","A","2016",61826.803772,
"NOR","GNI","TOT","USD_CAP","A","2017",65732.09397,
"POL","GNI","TOT","USD_CAP","A","2013",23605.455983,
"POL","GNI","TOT","USD_CAP","A","2014",24363.160128,
"POL","GNI","TOT","USD_CAP","A","2015",25566.398531,
"POL","GNI","TOT","USD_CAP","A","2016",26846.281622,
"POL","GNI","TOT","USD_CAP","A","2017",28567.836684,
"PRT","GNI","TOT","USD_CAP","A","2013",27562.555251,
"PRT","GNI","TOT","USD_CAP","A","2014",28154.273553,
"PRT","GNI","TOT","USD_CAP","A","2015",28872.960522,
"PRT","GNI","TOT","USD_CAP","A","2016",30836.68107,
"PRT","GNI","TOT","USD_CAP","A","2017",32309.42609,
"SVK","GNI","TOT","USD_CAP","A","2013",27760.321985,
"SVK","GNI","TOT","USD_CAP","A","2014",28669.492706,
"SVK","GNI","TOT","USD_CAP","A","2015",29208.805196,
"SVK","GNI","TOT","USD_CAP","A","2016",28888.314844,
"SVK","GNI","TOT","USD_CAP","A","2017",30276.614363,
"ESP","GNI","TOT","USD_CAP","A","2013",32235.937123,
"ESP","GNI","TOT","USD_CAP","A","2014",33421.374885,
"ESP","GNI","TOT","USD_CAP","A","2015",34930.735125,
"ESP","GNI","TOT","USD_CAP","A","2016",37402.0486,
"ESP","GNI","TOT","USD_CAP","A","2017",39617.67219,"P"
"SWE","GNI","TOT","USD_CAP","A","2013",47178.479593,
"SWE","GNI","TOT","USD_CAP","A","2014",48041.216017,
"SWE","GNI","TOT","USD_CAP","A","2015",49416.584943,
"SWE","GNI","TOT","USD_CAP","A","2016",50780.292297,
"SWE","GNI","TOT","USD_CAP","A","2017",53488.223944,
"CHE","GNI","TOT","USD_CAP","A","2013",61376.711725,
"CHE","GNI","TOT","USD_CAP","A","2014",62168.581849,
"CHE","GNI","TOT","USD_CAP","A","2015",65356.742029,
"CHE","GNI","TOT","USD_CAP","A","2016",65874.788438,"P"
"CHE","GNI","TOT","USD_CAP","A","2017",66046.054396,"P"
"GBR","GNI","TOT","USD_CAP","A","2013",39169.440716,
"GBR","GNI","TOT","USD_CAP","A","2014",40426.660393,
"GBR","GNI","TOT","USD_CAP","A","2015",41549.400066,
"GBR","GNI","TOT","USD_CAP","A","2016",43077.856381,
"GBR","GNI","TOT","USD_CAP","A","2017",45439.679524,
"USA","GNI","TOT","USD_CAP","A","2013",54281.789135,
"USA","GNI","TOT","USD_CAP","A","2014",56656.811529,
"USA","GNI","TOT","USD_CAP","A","2015",58264.181094,
"USA","GNI","TOT","USD_CAP","A","2016",58905.544713,
"USA","GNI","TOT","USD_CAP","A","2017",60939.359577,
"CHL","GNI","TOT","USD_CAP","A","2013",21383.906446,
"CHL","GNI","TOT","USD_CAP","A","2014",21899.475349,
"CHL","GNI","TOT","USD_CAP","A","2015",21922.17274,
"CHL","GNI","TOT","USD_CAP","A","2016",22002.059137,
"CHL","GNI","TOT","USD_CAP","A","2017",22689.109671,
"EST","GNI","TOT","USD_CAP","A","2013",26932.56179,
"EST","GNI","TOT","USD_CAP","A","2014",28285.009311,
"EST","GNI","TOT","USD_CAP","A","2015",28799.226368,
"EST","GNI","TOT","USD_CAP","A","2016",30527.176476,
"EST","GNI","TOT","USD_CAP","A","2017",33063.067525,
"ISR","GNI","TOT","USD_CAP","A","2013",33466.07195,
"ISR","GNI","TOT","USD_CAP","A","2014",34020.476492,
"ISR","GNI","TOT","USD_CAP","A","2015",35144.32457,
"ISR","GNI","TOT","USD_CAP","A","2016",37511.830258,
"ISR","GNI","TOT","USD_CAP","A","2017",38588.893868,
"SVN","GNI","TOT","USD_CAP","A","2013",29578.426296,
"SVN","GNI","TOT","USD_CAP","A","2014",30589.39435,
"SVN","GNI","TOT","USD_CAP","A","2015",30664.460249,
"SVN","GNI","TOT","USD_CAP","A","2016",33014.902302,
"SVN","GNI","TOT","USD_CAP","A","2017",35997.596228,
"OECD","GNI","TOT","USD_CAP","A","2013",39432.338491,"E"
"OECD","GNI","TOT","USD_CAP","A","2014",40703.991967,"E"
"OECD","GNI","TOT","USD_CAP","A","2015",41810.977738,"E"
"OECD","GNI","TOT","USD_CAP","A","2016",43089.733176,"E"
"LVA","GNI","TOT","USD_CAP","A","2013",22640.020413,
"LVA","GNI","TOT","USD_CAP","A","2014",23762.966863,
"LVA","GNI","TOT","USD_CAP","A","2015",24692.547576,
"LVA","GNI","TOT","USD_CAP","A","2016",26339.849794,
"LVA","GNI","TOT","USD_CAP","A","2017",28374.477876,
"LTU","GNI","TOT","USD_CAP","A","2013",26089.733085,
"LTU","GNI","TOT","USD_CAP","A","2014",27823.386771,
"LTU","GNI","TOT","USD_CAP","A","2015",27783.28099,
"LTU","GNI","TOT","USD_CAP","A","2016",29791.002868,
"LTU","GNI","TOT","USD_CAP","A","2017",32631.475099,
"TUR","GNI","TOT","USD_CAP","A","2013",21997.102868,"E"
"TUR","GNI","TOT","USD_CAP","A","2014",23764.848474,"E"
"TUR","GNI","TOT","USD_CAP","A","2015",25423.711176,"E"
"TUR","GNI","TOT","USD_CAP","A","2016",26196.833912,"E"
